Project ID,n_modules,n_entities,integ_simple,integ_complex,n_reports,n_cemli,n_dm_objects,duration_months,team_size,integ_coverage_ratio,dm_coverage_ratio,complexity,industry,deviation_pct,overrun_flag,Project Health
OFP-0019,3,3,34,11,88,24,26,10,39,1.2193638914873712,1.1410526315789473,M,Healthcare,13.9,1,NORMAL
OFP-0020,4,3,24,6,39,7,17,20,15,0.8371369294605809,1.440466926070039,M,Logistics,9.0,0,TROUBLED
OFP-0021,3,3,16,2,42,30,12,12,33,1.4198795180722892,0.9918625678119349,M,Consumer Goods,16.3,1,NORMAL
OFP-0022,4,2,10,4,40,11,40,12,18,0.8,1.8041666666666667,H,BFSI,37.9,1,NORMAL
OFP-0023,3,3,24,13,61,17,37,27,39,0.8,1.231851851851852,M,Consumer Goods,0.5,0,NORMAL
OFP-0024,3,2,36,6,94,25,40,11,37,1.1944367942715504,1.3721602643535729,H,Public Sector,9.9,0,NORMAL
OFP-0025,2,1,31,3,38,7,34,13,17,2.0,2.0,M,Healthcare,48.9,1,TROUBLED
OFP-0026,4,3,5,6,102,19,36,14,36,1.5014409221902019,1.7968145620022755,VH,Telecom,34.6,1,NORMAL
OFP-0027,2,5,14,3,70,16,26,29,33,1.1079245283018868,0.8720271800679502,M,Manufacturing,-0.1,0,NORMAL
OFP-0028,2,3,14,5,77,26,16,15,19,2.0,1.9307450157397692,M,Public Sector,36.7,1,TROUBLED
OFP-0029,6,2,29,15,71,6,20,22,30,0.799962852897474,1.239275766016713,H,Energy & Utilities,25.1,1,CRITICAL
OFP-0030,3,2,31,4,35,8,39,21,40,1.5158388003748828,1.0390778746134384,VH,Retail,27.6,1,NORMAL
OFP-0031,4,5,34,13,48,26,12,14,10,0.9077473182359953,1.3415593705293276,H,Consumer Goods,41.3,1,CRITICAL
OFP-0032,2,5,8,8,45,12,12,24,13,2.0,1.3511129777404451,VH,Public Sector,62.9,1,TROUBLED
OFP-0033,2,3,20,11,51,1,16,18,11,1.1498069498069499,1.8935185185185184,M,BFSI,44.9,1,NORMAL
OFP-0034,3,2,14,3,26,17,40,20,32,0.8643954575818305,1.2299599198396793,H,Professional Services,0.4,0,NORMAL
OFP-0035,2,12,40,7,95,7,31,21,35,0.8001958863858962,0.7999999999999999,L,Retail,15.2,1,TROUBLED
OFP-0036,4,8,30,3,28,1,10,26,21,0.8002219755826859,1.5257903494176372,L,Public Sector,-5.0,0,NORMAL
OFP-0037,2,1,30,11,17,0,18,19,21,1.8763604701784937,1.37949052906597,H,Professional Services,25.4,1,NORMAL
OFP-0038,4,3,31,6,24,25,6,20,18,0.8001045205121505,0.800078400627205,H,BFSI,19.9,1,TROUBLED
OFP-0039,2,2,14,14,107,4,16,30,39,1.4689655172413794,1.1995863495346433,M,BFSI,20.7,1,NORMAL
OFP-0040,3,3,34,11,80,2,33,28,20,1.0499398315282793,0.9751805054151624,H,BFSI,14.0,1,NORMAL
OFP-0041,5,5,14,7,20,9,27,19,33,1.4129263913824057,2.0,M,Logistics,38.4,1,TROUBLED
OFP-0042,4,5,29,4,30,11,15,24,10,1.364390378766934,0.8001658374792704,H,Manufacturing,23.4,1,TROUBLED
OFP-0043,3,2,37,4,116,27,10,17,36,0.9770857814336077,0.7999118554429264,H,Energy & Utilities,1.3,0,SMOOTH
OFP-0044,3,2,14,10,103,33,32,13,26,0.8,0.8848920863309352,L,Manufacturing,-13.8,0,SMOOTH
OFP-0045,3,3,9,7,40,6,26,14,10,0.7999999999999999,1.689210950080515,H,Public Sector,6.6,0,NORMAL
OFP-0046,3,3,30,13,66,24,26,15,39,0.8,1.7021428571428572,M,Public Sector,49.1,1,CRITICAL
OFP-0047,5,8,15,2,28,28,7,14,12,0.7998204667863554,1.3535353535353536,M,BFSI,39.9,1,TROUBLED
OFP-0048,6,1,9,9,32,28,10,20,30,1.203358208955224,1.1142217245240762,M,Energy & Utilities,14.8,1,NORMAL
OFP-0049,6,3,13,15,109,35,16,14,35,0.7999999999999999,0.8550794415021666,M,BFSI,50.5,1,TROUBLED
OFP-0050,2,1,7,12,108,16,18,28,34,1.3467972256221952,0.799877600979192,H,Consumer Goods,34.5,1,SMOOTH
OFP-0051,2,3,11,7,40,29,12,18,36,1.453774385072095,1.3848600508905853,H,Telecom,43.1,1,SMOOTH
OFP-0052,4,1,23,9,86,30,23,27,8,1.3799903799903799,1.4754689754689756,H,Healthcare,28.0,1,SMOOTH
OFP-0053,4,3,7,2,14,8,26,25,37,1.9491473812423876,1.384650525354043,H,Retail,41.3,1,TROUBLED
OFP-0054,3,12,19,13,16,30,15,26,32,1.4044350580781415,1.2765451664025356,M,Manufacturing,30.4,1,TROUBLED
OFP-0055,2,3,21,11,71,12,20,18,27,0.7997311827956989,1.2066532258064515,M,Professional Services,-6.5,0,TROUBLED
OFP-0056,6,8,22,10,99,17,13,13,23,1.4191742477256823,0.847244094488189,M,Energy & Utilities,38.6,1,TROUBLED
OFP-0057,4,5,7,4,63,11,7,22,39,2.0,0.8623931623931624,M,Consumer Goods,27.5,1,TROUBLED
OFP-0058,2,5,30,15,64,32,25,12,33,1.4029459901800327,2.0,H,Healthcare,57.8,1,CRITICAL
OFP-0059,3,12,28,11,38,14,13,25,17,2.0,2.0,H,Energy & Utilities,84.1,1,CRITICAL
OFP-0060,6,3,37,8,68,3,40,24,27,1.5761171889486372,1.0456062291434927,H,Logistics,38.0,1,NORMAL
OFP-0061,3,5,39,4,93,22,12,15,33,2.0,0.9941362201172756,H,Telecom,18.6,1,TROUBLED
OFP-0062,2,1,33,5,79,13,8,14,40,0.7997189037245256,1.6153846153846154,M,Consumer Goods,17.8,1,TROUBLED
OFP-0063,5,2,31,8,29,19,29,15,38,1.157894736842105,1.38255033557047,H,Public Sector,43.0,1,NORMAL
OFP-0064,4,8,26,6,11,13,17,13,38,1.3121801432958033,1.7283192632386797,M,Logistics,18.4,1,TROUBLED
OFP-0065,2,12,31,6,29,12,26,17,32,1.9698033707865168,0.9905163329820863,M,Retail,13.2,1,NORMAL
OFP-0066,2,8,19,3,100,9,5,16,40,1.7,1.026829268292683,M,Manufacturing,20.5,1,SMOOTH
OFP-0067,3,8,22,14,60,5,28,22,37,2.0,0.8900651465798045,M,Healthcare,37.1,1,CRITICAL
OFP-0068,2,5,22,10,82,2,16,20,9,1.0712041884816754,1.3796623478602277,VH,Energy & Utilities,11.3,1,SMOOTH
OFP-0069,3,12,30,14,51,1,22,24,39,1.1057241163590867,1.5424683247301736,H,Public Sector,32.3,1,NORMAL
OFP-0070,2,3,25,15,59,0,23,23,32,1.7742663656884876,1.964406779661017,L,BFSI,30.4,1,CRITICAL
OFP-0071,3,3,13,6,10,25,26,29,32,1.7777777777777777,0.7998027613412227,H,Professional Services,14.7,1,NORMAL
OFP-0072,2,5,18,9,112,18,9,23,39,0.9634801288936629,1.3816425120772946,L,Retail,-0.1,0,NORMAL
OFP-0073,3,2,27,4,92,2,30,20,35,1.553935860058309,1.2755905511811025,M,Consumer Goods,16.6,1,SMOOTH
OFP-0074,4,1,12,2,118,21,11,15,23,1.6403985507246375,1.3355978260869565,L,Professional Services,36.7,1,NORMAL
OFP-0075,4,3,21,12,120,31,38,30,28,2.0,1.58347876672484,M,Retail,54.8,1,TROUBLED
OFP-0076,2,8,8,15,55,0,36,14,20,0.7998560115190784,1.9546436285097193,M,Energy & Utilities,-2.5,0,NORMAL
OFP-0077,3,3,28,10,115,2,33,27,21,2.0,1.58203125,M,Consumer Goods,62.9,1,TROUBLED
OFP-0078,3,12,37,12,114,6,13,23,11,1.935878317924247,0.8000894454382826,H,Energy & Utilities,46.0,1,TROUBLED
OFP-0079,4,5,30,5,64,13,36,18,28,1.3337566675133352,1.2697142857142858,H,Professional Services,37.7,1,NORMAL
OFP-0080,2,2,19,8,93,5,11,10,21,0.8528072837632776,0.7997724687144482,M,Retail,8.9,0,SMOOTH
OFP-0081,3,1,15,9,54,13,14,23,36,1.8660229330114666,0.894927536231884,M,Retail,30.1,1,TROUBLED
OFP-0082,5,3,9,10,11,23,25,14,32,0.8001689902830588,1.1223067173637515,M,Professional Services,-10.7,0,NORMAL
OFP-0083,2,3,9,6,99,27,20,11,23,1.425876010781671,1.38422649140546,M,Retail,12.4,1,NORMAL
OFP-0084,4,2,9,6,101,4,36,24,40,1.9025330396475773,2.0,H,Manufacturing,26.7,1,NORMAL
OFP-0085,4,1,28,3,74,3,16,17,10,1.4846434148880792,1.2240437158469948,M,Telecom,14.0,1,TROUBLED
OFP-0086,5,5,11,5,77,15,31,25,11,1.221261097200091,1.7671560259474226,H,Manufacturing,15.6,1,NORMAL
OFP-0087,2,3,14,3,31,28,34,20,34,1.164332784184514,1.2384187770228536,H,Healthcare,27.8,1,NORMAL
OFP-0088,2,8,40,13,80,15,11,24,14,0.8932647124636384,1.0251762336354482,VH,Retail,15.2,1,SMOOTH
OFP-0089,2,1,32,15,102,25,36,10,32,0.8,1.5850773430391265,VH,BFSI,10.7,1,NORMAL
OFP-0090,5,3,39,14,72,22,37,20,32,1.698320787492762,1.0877243775332948,H,Manufacturing,9.2,0,SMOOTH
OFP-0091,3,5,14,11,34,31,39,19,19,1.2392638036809818,1.871222076215506,L,Public Sector,30.8,1,SMOOTH
OFP-0092,3,20,32,14,91,31,25,15,30,0.8,1.7264276228419655,M,Public Sector,11.4,1,NORMAL
OFP-0093,6,2,9,7,42,6,5,11,32,1.2670157068062826,0.7997382198952879,L,Public Sector,29.5,1,NORMAL
OFP-0094,3,8,6,8,93,10,32,15,11,1.1778340475262954,1.4642126789366052,VH,Public Sector,21.7,1,NORMAL
OFP-0095,3,1,30,9,72,16,10,30,32,1.492123845736013,0.9120521172638437,M,Energy & Utilities,18.2,1,TROUBLED
OFP-0096,4,1,7,10,83,33,14,13,36,1.21441523118767,1.1787899388171312,M,Consumer Goods,53.6,1,CRITICAL
OFP-0097,2,1,14,4,82,6,11,28,14,1.1356265356265356,0.8002947678703022,H,Consumer Goods,23.4,1,NORMAL
OFP-0098,3,1,24,6,45,31,11,17,16,0.8875776397515528,0.912901723334886,H,Professional Services,32.5,1,NORMAL
OFP-0099,6,3,17,6,57,29,37,22,15,1.4056541748849443,1.051282051282051,L,Manufacturing,2.6,0,NORMAL
OFP-0100,3,2,24,13,100,17,32,22,30,1.0748861047835991,1.012387868432294,H,Retail,43.9,1,NORMAL
OFP-0101,3,2,13,13,13,31,23,18,34,0.8001057641459546,1.211111111111111,M,Manufacturing,5.1,0,TROUBLED
OFP-0102,3,3,12,9,16,4,35,16,40,1.1776702385067404,1.8724066390041492,H,Public Sector,13.6,1,TROUBLED
OFP-0103,3,3,32,8,64,30,29,10,10,1.7538314176245209,1.4022988505747127,M,Professional Services,9.6,0,TROUBLED
OFP-0104,4,2,30,2,39,14,13,16,9,1.3064159292035398,0.8,H,Professional Services,30.4,1,NORMAL
OFP-0105,5,5,22,11,87,8,31,13,40,0.8336569579288026,0.9553398058252427,H,Energy & Utilities,29.3,1,NORMAL
OFP-0106,3,5,34,6,43,29,8,13,19,1.0597122302158275,1.3636363636363638,VH,BFSI,27.7,1,NORMAL
OFP-0107,5,5,12,4,99,3,15,13,34,1.1057504873294348,0.8000730994152047,H,Professional Services,35.0,1,TROUBLED
OFP-0108,3,5,35,7,94,24,14,27,11,1.7353676838419207,1.441860465116279,M,Consumer Goods,73.5,1,CRITICAL
OFP-0109,5,3,5,15,21,19,37,27,21,0.7999196464443551,1.5400843881856539,M,BFSI,13.6,1,NORMAL
OFP-0110,3,2,30,5,68,12,26,13,34,0.8,0.7999049429657795,H,BFSI,26.8,1,TROUBLED
OFP-0111,5,20,33,14,27,8,31,29,40,1.767979761474521,1.6366100469822915,VH,Energy & Utilities,36.3,1,TROUBLED
OFP-0112,5,5,17,6,106,10,23,18,17,0.8725981620718463,1.4254385964912282,M,Manufacturing,30.2,1,TROUBLED
OFP-0113,4,3,17,14,102,12,23,24,19,1.2528793189784677,1.402329075882795,H,Healthcare,60.2,1,CRITICAL
OFP-0114,2,2,9,14,74,10,31,27,33,1.665549597855228,1.2030150753768845,M,Public Sector,24.6,1,NORMAL
OFP-0115,2,8,28,10,112,32,33,25,10,2.0,1.4726305911792306,VH,Energy & Utilities,80.8,1,TROUBLED
OFP-0116,2,1,21,10,19,14,21,23,32,0.799749687108886,0.7992495309568481,L,Public Sector,0.8,0,NORMAL
OFP-0117,5,5,35,4,78,14,13,22,26,1.4388548057259714,0.8,M,Professional Services,8.6,0,TROUBLED
OFP-0118,2,3,8,15,106,35,34,30,12,0.7998654557685839,1.2199798183652877,H,BFSI,-6.2,0,SMOOTH
OFP-0119,3,2,32,4,10,20,20,17,35,0.9838056680161943,1.0372940156114483,M,Consumer Goods,-12.5,0,NORMAL
OFP-0120,4,3,39,10,70,9,28,22,22,1.0218477795230616,0.7999571642750054,VH,Consumer Goods,49.9,1,TROUBLED
OFP-0121,2,3,28,8,70,29,7,11,28,0.9463674400912896,0.7997718197375926,H,Healthcare,52.4,1,CRITICAL
OFP-0122,2,3,22,5,29,11,15,21,15,2.0,1.8428053204353083,M,Professional Services,32.2,1,TROUBLED
OFP-0123,5,3,6,13,103,18,10,16,36,0.8000890471950133,1.9028380634390651,H,Logistics,27.2,1,TROUBLED
OFP-0124,3,8,39,10,106,7,10,25,16,1.2691373025516404,1.173120728929385,H,Professional Services,26.2,1,TROUBLED
OFP-0125,5,2,21,6,119,34,32,28,31,2.0,1.7314564158094208,M,Public Sector,34.0,1,CRITICAL
OFP-0126,2,12,5,14,21,9,35,29,35,0.8001469507714917,1.6747519294377067,M,Consumer Goods,18.9,1,NORMAL
OFP-0127,2,3,19,11,31,2,28,17,8,1.6385017421602788,1.5904637491835403,H,Healthcare,58.3,1,CRITICAL
OFP-0128,2,3,11,10,19,32,23,20,15,0.8326666666666667,0.8,M,Consumer Goods,10.0,0,TROUBLED
OFP-0129,4,3,26,3,80,11,35,20,30,0.9929078014184397,1.4120567375886524,M,Energy & Utilities,11.6,1,NORMAL
OFP-0130,4,20,22,9,33,32,22,22,22,1.4767801857585139,1.326259946949602,M,Consumer Goods,17.0,1,SMOOTH
OFP-0131,2,2,28,7,119,25,22,24,19,0.8255542590431738,0.799650043744532,M,Public Sector,-1.0,0,CRITICAL
OFP-0132,3,3,30,3,98,10,8,16,24,1.876850605652759,1.1696113074204946,H,Energy & Utilities,7.6,0,TROUBLED
OFP-0133,5,3,14,15,31,21,31,30,33,1.6691300675675675,1.4513778904022807,H,BFSI,27.2,1,NORMAL
OFP-0134,3,5,10,12,59,19,19,17,26,1.0,0.8525695029486099,M,Logistics,12.9,1,SMOOTH
OFP-0135,3,1,38,15,107,8,27,19,38,1.4861826697892273,1.3858046380885451,M,Telecom,30.4,1,TROUBLED
OFP-0136,3,3,22,8,34,4,16,14,26,1.1247821540606484,1.2055439330543933,H,Energy & Utilities,40.9,1,NORMAL
OFP-0137,6,1,10,15,106,9,8,18,33,1.802485919596038,1.551995339353335,H,Public Sector,23.5,1,NORMAL
OFP-0138,4,1,18,3,40,27,25,10,18,0.8000965717044906,1.0181028240405503,M,Energy & Utilities,5.2,0,SMOOTH
OFP-0139,4,2,7,9,100,28,40,19,39,0.8000488878024933,1.5753575357535754,H,Telecom,32.6,1,NORMAL
OFP-0140,2,5,14,11,46,20,31,30,28,1.3046538912788426,1.0897360703812318,H,Healthcare,18.1,1,NORMAL
OFP-0141,4,5,5,5,93,31,10,24,11,0.9790448343079923,1.9919590643274852,M,Manufacturing,6.1,0,TROUBLED
OFP-0142,5,2,16,10,61,32,26,15,36,1.0210723972459836,0.7999999999999999,H,Professional Services,24.9,1,NORMAL
OFP-0143,3,2,25,2,108,17,40,26,17,1.0581268221574345,0.7999453402569008,VH,Manufacturing,17.2,1,NORMAL
OFP-0144,4,3,12,15,108,14,5,30,32,0.7999480384515458,1.9731098986749804,H,Public Sector,18.4,1,NORMAL
OFP-0145,2,3,17,9,60,12,40,29,23,0.9988090512107979,1.590232281119714,H,Telecom,28.4,1,NORMAL
OFP-0146,4,3,10,3,104,3,20,29,17,0.8002177463255308,1.1126530612244898,M,Manufacturing,21.8,1,NORMAL
OFP-0147,2,5,28,15,23,1,23,30,32,0.9321428571428572,0.7999999999999999,L,Professional Services,15.1,1,NORMAL
OFP-0148,3,20,37,6,113,3,21,22,9,1.4959481361426255,0.799837925445705,M,Public Sector,19.6,1,NORMAL
OFP-0149,3,12,12,4,50,9,6,20,34,0.7998483699772555,1.8231949971574757,H,Public Sector,25.9,1,NORMAL
OFP-0150,4,3,5,6,62,14,17,16,12,1.6183858898984502,1.7395833333333333,M,Retail,41.7,1,CRITICAL
OFP-0151,4,3,24,14,115,18,34,15,35,1.4816310052482842,1.7492428831011508,M,Manufacturing,61.5,1,CRITICAL
OFP-0152,4,5,37,11,30,24,40,22,10,1.4049526584122358,0.8526200873362445,L,Professional Services,-0.3,0,NORMAL
OFP-0153,4,3,31,9,20,0,20,27,25,0.7998905009581165,0.9572895277207392,H,Healthcare,13.5,1,NORMAL
OFP-0154,3,8,9,14,64,35,9,19,38,0.800103305785124,0.8001549186676995,M,BFSI,14.1,1,TROUBLED
OFP-0155,3,2,17,2,25,1,34,30,15,0.989010989010989,0.9814624098867147,M,Retail,46.7,1,TROUBLED
OFP-0156,4,2,35,9,112,2,13,25,17,0.7999999999999999,1.17797783933518,M,Retail,-2.9,0,TROUBLED
OFP-0157,2,1,20,7,67,19,18,26,27,1.5719225449515908,1.5290456431535269,M,Public Sector,33.8,1,NORMAL
OFP-0158,2,1,10,7,69,2,11,26,27,1.075154730327144,0.79973474801061,M,BFSI,44.0,1,TROUBLED
OFP-0159,3,2,24,11,53,34,33,11,16,1.3196132596685082,1.1300745650372825,H,Retail,34.8,1,CRITICAL
OFP-0160,6,2,21,7,60,11,26,20,37,0.9665318131666055,1.306843267108168,M,Professional Services,-10.4,0,SMOOTH
OFP-0161,3,8,32,14,65,21,39,17,19,1.8104395604395602,2.0,M,Telecom,43.1,1,CRITICAL
OFP-0162,3,2,25,6,82,19,32,21,13,0.9633888048411497,1.096686336813436,H,Telecom,33.9,1,TROUBLED
OFP-0163,5,3,31,4,46,8,13,10,12,1.7053903345724908,1.130010456605089,H,Logistics,49.3,1,TROUBLED
OFP-0164,4,1,35,13,57,7,35,12,17,1.2770061728395061,1.0648148148148147,L,Consumer Goods,23.6,1,CRITICAL
OFP-0165,3,3,8,12,70,10,8,19,9,1.3778849466069583,0.9121447028423773,H,Consumer Goods,2.9,0,SMOOTH
OFP-0166,4,5,15,5,83,22,8,30,24,1.792278412180533,0.8001631321370309,H,Telecom,16.8,1,NORMAL
OFP-0167,5,5,20,13,96,12,38,20,19,0.8001499812523435,0.7997750281214847,M,Consumer Goods,-4.4,0,SMOOTH
OFP-0168,3,2,12,13,33,16,23,24,12,1.684782608695652,1.3801534036433365,H,Telecom,74.1,1,CRITICAL
OFP-0169,4,1,33,13,43,6,7,12,12,0.856060606060606,1.8260188087774296,H,Telecom,16.2,1,NORMAL
OFP-0170,2,2,34,14,108,18,17,15,10,1.089019743678559,1.5148051948051948,H,Public Sector,21.3,1,NORMAL
OFP-0171,6,1,26,2,53,2,30,13,21,2.0,1.225925925925926,VH,Logistics,48.7,1,CRITICAL
OFP-0172,4,2,26,14,116,25,25,13,16,0.8,0.8002049180327869,L,Consumer Goods,18.1,1,CRITICAL
OFP-0173,2,1,23,8,98,30,13,16,17,1.2035236938031593,0.7996357012750456,M,Manufacturing,23.3,1,NORMAL
OFP-0174,3,1,14,12,118,30,36,15,18,1.3001531393568149,0.7999999999999999,L,Healthcare,17.5,1,TROUBLED
OFP-0175,5,3,19,3,70,31,8,23,17,1.8288207652718729,0.7999328633769722,H,Healthcare,27.7,1,TROUBLED
OFP-0176,2,1,38,9,120,13,35,24,25,1.348337950138504,1.28,H,Consumer Goods,65.0,1,NORMAL
OFP-0177,4,2,10,2,71,19,15,24,9,0.8350079323109466,2.0,M,Telecom,43.1,1,TROUBLED
OFP-0178,2,3,7,7,56,11,40,12,21,2.0,0.9321468298109009,M,Public Sector,23.6,1,NORMAL
OFP-0179,6,5,9,5,68,5,10,22,19,1.2931437062194864,1.8901273885350318,H,Energy & Utilities,9.7,0,SMOOTH
OFP-0180,5,5,25,9,85,33,40,24,37,1.226590280521533,1.085037037037037,H,Public Sector,8.9,0,SMOOTH
OFP-0181,4,3,7,12,50,22,14,21,36,1.6077481840193704,0.8002904865649965,M,Energy & Utilities,16.7,1,NORMAL
OFP-0182,2,3,24,2,61,14,33,21,13,1.6068620443173696,1.0128617363344052,M,Professional Services,7.2,0,TROUBLED
OFP-0183,3,2,33,15,81,5,18,24,34,1.037968188814777,2.0,M,Manufacturing,10.7,1,NORMAL
OFP-0184,2,2,36,2,115,19,24,25,37,2.0,1.8947068867387593,H,Healthcare,54.7,1,TROUBLED
OFP-0185,3,5,6,15,43,10,8,14,28,1.4234345939243644,2.0,M,Professional Services,45.9,1,TROUBLED
OFP-0186,2,8,5,4,76,18,28,25,34,0.8946188340807175,2.0,H,BFSI,38.2,1,CRITICAL
OFP-0187,4,2,12,5,26,9,19,19,16,0.852859522487507,0.8001665278934221,M,Logistics,40.7,1,CRITICAL
OFP-0188,2,12,27,7,30,32,20,26,12,0.9022556390977443,1.0056369785794814,H,BFSI,5.3,0,NORMAL
OFP-0189,5,2,12,14,50,7,34,13,16,1.0789689034369885,0.8103130755064456,M,Telecom,15.3,1,NORMAL
OFP-0190,3,3,10,3,28,25,30,28,14,1.0042372881355934,1.1553133514986378,M,Professional Services,46.2,1,NORMAL
OFP-0191,3,3,19,12,27,1,11,11,12,0.7997432605905005,1.3946102021174205,M,Professional Services,9.4,0,SMOOTH
OFP-0192,2,3,24,13,31,31,32,14,27,1.0037629350893698,1.846262341325811,L,Professional Services,5.1,0,TROUBLED
OFP-0193,3,8,26,8,22,27,27,21,34,0.7998129092609916,1.8569424964936887,L,Public Sector,-6.4,0,TROUBLED
OFP-0194,4,8,26,4,88,19,28,23,20,1.5876194811106055,1.3849829351535836,M,Healthcare,31.7,1,TROUBLED
OFP-0195,5,5,34,12,107,35,16,10,19,0.7998626845176794,1.2384140061791968,M,Healthcare,7.4,0,NORMAL
OFP-0196,2,2,24,9,72,35,32,23,10,1.0512820512820513,0.8001672240802676,M,BFSI,7.5,0,NORMAL
OFP-0197,3,8,38,6,73,5,20,29,15,0.7999999999999999,1.3408521303258145,M,Logistics,34.3,1,TROUBLED
OFP-0198,6,8,6,12,87,2,8,17,24,1.555944055944056,0.9015735883986423,H,Public Sector,12.6,1,NORMAL
OFP-0199,5,8,15,13,43,32,9,21,34,0.9594969089746322,0.8001279181323953,H,Public Sector,17.7,1,TROUBLED
OFP-0200,4,2,31,7,33,25,29,28,22,1.5617784328174893,0.9366249078850406,H,Consumer Goods,57.2,1,CRITICAL
OFP-0201,3,3,32,15,36,13,23,16,34,0.8001172332942555,0.8,H,Energy & Utilities,43.8,1,TROUBLED
OFP-0202,4,12,7,2,42,32,29,19,33,0.9860579132832847,0.8000459664444955,VH,Professional Services,66.9,1,CRITICAL
OFP-0203,3,3,15,7,104,31,14,27,36,0.800209753539591,1.2209119496855347,M,Consumer Goods,27.4,1,SMOOTH
OFP-0204,3,20,5,10,108,11,31,12,23,1.476056338028169,1.21301775147929,M,Consumer Goods,17.1,1,SMOOTH
OFP-0205,4,5,40,11,58,5,30,18,19,0.7999508478741706,0.8001474926253688,H,Energy & Utilities,12.7,1,TROUBLED
OFP-0206,3,1,32,14,57,11,32,30,35,1.149279538904899,0.7999135695764908,H,Energy & Utilities,9.7,0,NORMAL
OFP-0207,5,5,21,7,42,5,37,10,15,0.7998352553542009,0.799752781211372,L,Telecom,6.2,0,TROUBLED
OFP-0208,2,3,30,15,94,31,24,29,31,1.3114489003880985,1.3202328966521109,H,Manufacturing,25.3,1,NORMAL
OFP-0209,3,2,33,9,70,1,33,28,23,1.5279435702658708,0.7998372660699755,M,Manufacturing,53.6,1,NORMAL
OFP-0210,3,12,27,9,99,27,6,15,26,0.8649337410805301,0.7996941896024463,M,Professional Services,13.9,1,NORMAL
OFP-0211,3,12,36,6,40,13,40,11,9,1.4587073608617596,1.3236086175942547,H,Professional Services,35.8,1,NORMAL
OFP-0212,3,8,11,15,81,2,37,13,18,0.8000628733102797,1.5492692126355494,H,BFSI,30.1,1,NORMAL
OFP-0213,4,5,31,14,39,8,32,23,34,1.1507271925958573,0.7997356245869134,M,Public Sector,26.5,1,NORMAL
OFP-0214,4,2,38,11,28,25,33,30,21,0.7998522895125554,2.0,L,Public Sector,27.4,1,TROUBLED
OFP-0215,2,2,37,7,25,3,12,24,27,0.8001756697408872,2.0,H,BFSI,26.9,1,SMOOTH
OFP-0216,5,1,13,9,37,28,9,21,33,1.6394502829426032,1.0036407766990292,L,Telecom,8.0,0,NORMAL
OFP-0217,3,2,38,4,25,23,24,21,27,1.3530982905982907,0.7996794871794872,M,BFSI,33.1,1,SMOOTH
OFP-0218,6,5,10,14,89,26,29,17,33,1.0392548236859613,1.2060878243512974,M,Professional Services,-6.8,0,SMOOTH
OFP-0219,6,3,25,8,85,2,36,10,29,1.8390646492434661,0.7997936016511867,L,Consumer Goods,8.5,0,NORMAL
OFP-0220,5,2,12,2,35,15,20,25,40,2.0,0.7998549673676577,H,Retail,35.5,1,CRITICAL
